Syntax version=4
Sun Nov 24 22:27:38 2019
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		akcelerometer[0]	akcelerometer[1]	akcelerometer[2]	gyroskope[0]	gyroskope[1]	gyroskope[2]
D:	time(ms)	(0x20000780,7)	(0x20000788,7)	(0x20000790,7)	(0x20000798,7)	(0x200007a0,7)	(0x200007a8,7)
D:	969.30	1.180745	0.890947	-10.025552	-0.014914	-0.021305	0.025566
D:	970.22	1.180745	0.890947	-10.025552	-0.014914	-0.021305	0.025566
D:	971.18	1.180745	0.890947	-10.025552	-0.014914	-0.021305	0.025566
D:	972.12	1.180745	0.890947	-10.025552	-0.014914	-0.021305	0.025566
D:	973.05	1.180745	0.890947	-10.025552	-0.014914	-0.020240	0.024501
D:	973.95	1.128054	0.948428	-9.989626	-0.006392	-0.020240	0.024501
D:	974.89	1.128054	0.948428	-9.989626	-0.006392	-0.020240	0.024501
D:	975.82	1.128054	0.948428	-9.989626	-0.006392	-0.020240	0.024501
D:	976.78	1.128054	0.948428	-9.989626	-0.006392	-0.020240	0.024501
D:	977.77	1.128054	0.948428	-9.989626	-0.006392	-0.020240	0.024501
D:	978.78	1.128054	0.948428	-9.989626	-0.006392	-0.020240	0.024501
D:	979.67	1.128054	0.948428	-9.989626	-0.006392	-0.020240	0.024501
D:	980.91	1.128054	0.948428	-9.989626	-0.006392	-0.020240	0.024501
D:	982.05	1.128054	0.948428	-9.989626	-0.006392	-0.020240	0.024501
D:	983.22	1.128054	0.974773	-9.970466	0.015979	0.002131	0.019175
D:	984.28	1.082549	0.974773	-9.970466	0.015979	0.002131	0.019175
D:	985.36	1.082549	0.974773	-9.970466	0.015979	0.002131	0.019175
D:	986.47	1.082549	0.974773	-9.970466	0.015979	0.002131	0.019175
D:	987.62	1.082549	0.974773	-9.970466	0.015979	0.002131	0.019175
D:	988.69	1.082549	0.974773	-9.970466	0.015979	0.002131	0.019175
D:	989.77	1.082549	0.974773	-9.970466	0.015979	0.002131	0.019175
D:	990.86	1.082549	0.974773	-9.970466	0.015979	0.002131	0.019175
D:	991.96	1.082549	0.974773	-9.970466	0.015979	0.002131	0.019175
D:	993.08	1.082549	0.974773	-9.970466	0.015979	0.029827	0.005326
D:	994.22	1.166375	1.075364	-9.865085	0.017044	0.029827	0.005326
D:	995.38	1.166375	1.075364	-9.865085	0.017044	0.029827	0.005326
D:	996.94	1.166375	1.075364	-9.865085	0.017044	0.029827	0.005326
D:	997.76	1.166375	1.075364	-9.865085	0.017044	0.029827	0.005326
D:	998.58	1.166375	1.075364	-9.865085	0.017044	0.029827	0.005326
D:	999.38	1.166375	1.075364	-9.865085	0.017044	0.029827	0.005326
D:	1000.26	1.166375	1.075364	-9.865085	0.017044	0.029827	0.005326
D:	1001.24	1.166375	1.075364	-9.865085	0.017044	0.029827	0.005326
D:	1002.19	1.166375	1.075364	-9.865085	0.017044	0.029827	0.005326
D:	1003.18	1.166375	1.075364	-9.812395	0.021305	0.045806	-0.019175
D:	1004.13	1.106499	0.960403	-9.812395	0.021305	0.045806	-0.019175
D:	1005.10	1.106499	0.960403	-9.812395	0.021305	0.045806	-0.019175
D:	1006.08	1.106499	0.960403	-9.812395	0.021305	0.045806	-0.019175
D:	1007.06	1.106499	0.960403	-9.812395	0.021305	0.045806	-0.019175
D:	1008.06	1.106499	0.960403	-9.812395	0.021305	0.045806	-0.019175
D:	1009.07	1.106499	0.960403	-9.812395	0.021305	0.045806	-0.019175
D:	1009.88	1.106499	0.960403	-9.812395	0.021305	0.045806	-0.019175
D:	1010.68	1.106499	0.960403	-9.812395	0.021305	0.045806	-0.019175
D:	1011.51	1.106499	0.960403	-9.812395	0.021305	0.045806	-0.019175
D:	1012.36	1.106499	0.960403	-9.812395	0.021305	0.045806	-0.019175
D:	1013.32	1.144819	0.993933	-9.843530	0.023436	0.079895	-0.022371
D:	1014.22	1.144819	0.993933	-9.843530	0.023436	0.079895	-0.022371
D:	1015.02	1.144819	0.993933	-9.843530	0.023436	0.079895	-0.022371
D:	1015.82	1.144819	0.993933	-9.843530	0.023436	0.079895	-0.022371
